STACKQL_SERVICE,STACKQL_RESOURCE,STACKQL_METHOD,SQL_VERB,OBJECT_KEY,RESPONSE_SHAPE,OPERATION_ID,REQUIRED_PARAMS,HTTP_PATH,HTTP_VERB
aiplatform,dataset_versions,list,select,$.datasetVersions,GoogleCloudAiplatformV1ListDatasetVersionsResponse,aiplatform.projects.locations.datasets.datasetVersions.list,projects|locations|datasets,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions,GET
aiplatform,dataset_versions,patch,update,,GoogleCloudAiplatformV1DatasetVersion,aiplatform.projects.locations.datasets.datasetVersions.patch,projects|locations|datasets|datasetVersions,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions/{datasetVersionsId},PATCH
aiplatform,dataset_versions,delete,delete,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.datasetVersions.delete,projects|locations|datasets|datasetVersions,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions/{datasetVersionsId},DELETE
aiplatform,dataset_versions,get,select,,GoogleCloudAiplatformV1DatasetVersion,aiplatform.projects.locations.datasets.datasetVersions.get,projects|locations|datasets|datasetVersions,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions/{datasetVersionsId},GET
aiplatform,dataset_versions,restore,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.datasets.datasetVersions.restore,projects|locations|datasets|datasetVersions,//v1/projects/{projectsId}/locations/{locationsId}/datasets/{datasetsId}/datasetVersions/{datasetVersionsId}:restore,GET
aiplatform,cache_config,update_cache_config,update,,GoogleLongrunningOperation,aiplatform.projects.updateCacheConfig,projects,//v1/projects/{projectsId}/cacheConfig,PATCH
aiplatform,cache_config,get_cache_config,select,,GoogleCloudAiplatformV1CacheConfig,aiplatform.projects.getCacheConfig,projects,//v1/projects/{projectsId}/cacheConfig,GET
aiplatform,locations,list,select,$.locations,GoogleCloudLocationListLocationsResponse,aiplatform.projects.locations.list,projects,//v1/projects/{projectsId}/locations,GET
aiplatform,locations,get,select,,GoogleCloudLocationLocation,aiplatform.projects.locations.get,projects|locations,//v1/projects/{projectsId}/locations/{locationsId},GET
aiplatform,locations,evaluate_instances,exec,,GoogleCloudAiplatformV1EvaluateInstancesResponse,aiplatform.projects.locations.evaluateInstances,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:evaluateInstances,POST
aiplatform,locations,evaluate_dataset,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.evaluateDataset,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:evaluateDataset,POST
aiplatform,locations,deploy,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.deploy,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:deploy,POST
aiplatform,locations,augment_prompt,exec,,GoogleCloudAiplatformV1AugmentPromptResponse,aiplatform.projects.locations.augmentPrompt,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:augmentPrompt,POST
aiplatform,locations,corroborate_content,exec,,GoogleCloudAiplatformV1CorroborateContentResponse,aiplatform.projects.locations.corroborateContent,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:corroborateContent,POST
aiplatform,rag_engine_config,update_rag_engine_config,update,,GoogleLongrunningOperation,aiplatform.projects.locations.updateRagEngineConfig,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/ragEngineConfig,PATCH
aiplatform,rag_engine_config,get_rag_engine_config,select,,GoogleCloudAiplatformV1RagEngineConfig,aiplatform.projects.locations.getRagEngineConfig,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/ragEngineConfig,GET
aiplatform,contexts,retrieve_contexts,exec,,GoogleCloudAiplatformV1RetrieveContextsResponse,aiplatform.projects.locations.retrieveContexts,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}:retrieveContexts,POST
aiplatform,contexts,create,insert,,GoogleCloudAiplatformV1Context,aiplatform.projects.locations.metadataStores.contexts.create,projects|locations|metadataStores,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts,POST
aiplatform,contexts,list,select,$.contexts,GoogleCloudAiplatformV1ListContextsResponse,aiplatform.projects.locations.metadataStores.contexts.list,projects|locations|metadataStores,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts,GET
aiplatform,contexts,get,select,,GoogleCloudAiplatformV1Context,aiplatform.projects.locations.metadataStores.contexts.get,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId},GET
